,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-507500000.0,-172600000.0,-162800000.0,49100000.0,-249200000.0,
Repurchase Of Capital Stock,0.0,0.0,0.0,0.0,0.0,
Repayment Of Debt,-14700000.0,-651800000.0,-610000000.0,-5500000.0,342400000.0,
Issuance Of Debt,466000000.0,655400000.0,1454100000.0,907900000.0,-100000.0,
Issuance Of Capital Stock,53000000.0,252300000.0,3600000.0,3200000.0,104700000.0,
Capital Expenditure,-1220100000.0,-640500000.0,-658200000.0,-637300000.0,-789000000.0,
End Cash Position,135700000.0,119500000.0,365600000.0,303700000.0,198600000.0,
Beginning Cash Position,119500000.0,365600000.0,303700000.0,198600000.0,158800000.0,
Changes In Cash,16200000.0,-246100000.0,61900000.0,105100000.0,39800000.0,
Financing Cash Flow,431100000.0,116300000.0,780100000.0,771400000.0,298500000.0,
Cash Flow From Continuing Financing Activities,431100000.0,116300000.0,780100000.0,771400000.0,298500000.0,
Net Other Financing Charges,60800000.0,-7400000.0,64600000.0,-2200000.0,-24500000.0,
Cash Dividends Paid,-134000000.0,-132200000.0,-132200000.0,-132000000.0,-124000000.0,
Preferred Stock Dividend Paid,0.0,0.0,0.0,0.0,0.0,
Common Stock Dividend Paid,-134000000.0,-132200000.0,-132200000.0,-132000000.0,-124000000.0,
Net Preferred Stock Issuance,0.0,0.0,0.0,0.0,0.0,
Preferred Stock Payments,0.0,0.0,0.0,0.0,0.0,
Net Common Stock Issuance,53000000.0,252300000.0,3600000.0,3200000.0,104700000.0,
Common Stock Issuance,53000000.0,252300000.0,3600000.0,3200000.0,104700000.0,
Net Issuance Payments Of Debt,451300000.0,3600000.0,844100000.0,902400000.0,342300000.0,
Net Short Term Debt Issuance,-524000000.0,1260000000.0,-771000000.0,166400000.0,347600000.0,
Short Term Debt Payments,0.0,604600000.0,-604600000.0,0.0,347600000.0,
Short Term Debt Issuance,-524000000.0,,,166400000.0,,
Net Long Term Debt Issuance,975300000.0,-1256400000.0,1615100000.0,736000000.0,-5300000.0,
Long Term Debt Payments,-14700000.0,-1256400000.0,-5400000.0,-5500000.0,-5200000.0,
Long Term Debt Issuance,990000000.0,0.0,1620500000.0,741500000.0,-100000.0,
Investing Cash Flow,-1127500000.0,-830300000.0,-1213600000.0,-1352700000.0,-798500000.0,
Cash Flow From Continuing Investing Activities,-1127500000.0,-830300000.0,-1213600000.0,-1352700000.0,-798500000.0,
Net Other Investing Changes,147200000.0,-189800000.0,-555400000.0,-715400000.0,-84900000.0,
Capital Expenditure Reported,-846300000.0,-640500000.0,-658200000.0,-637300000.0,-760000000.0,
Operating Cash Flow,712600000.0,467900000.0,495400000.0,686400000.0,539800000.0,
Cash Flow From Continuing Operating Activities,712600000.0,467900000.0,495400000.0,686400000.0,539800000.0,
Change In Working Capital,6500000.0,40000000.0,84000000.0,-186900000.0,-31500000.0,
Change In Other Working Capital,91400000.0,94200000.0,700000.0,-74400000.0,-60800000.0,
Change In Other Current Liabilities,-4000000.0,6500000.0,-7600000.0,8100000.0,23700000.0,
Change In Payables And Accrued Expense,421800000.0,-14300000.0,-121000000.0,-86800000.0,,
Change In Accrued Expense,73800000.0,54300000.0,1500000.0,-61700000.0,,
Change In Interest Payable,,20400000.0,35300000.0,-14800000.0,,
Change In Payable,348000000.0,-68600000.0,-122500000.0,-25100000.0,,
Change In Account Payable,355300000.0,-76600000.0,-87600000.0,-59300000.0,,
Change In Tax Payable,,8000000.0,-34900000.0,34200000.0,,
Change In Income Tax Payable,,8000000.0,-34900000.0,34200000.0,,
Change In Prepaid Assets,8100000.0,-17000000.0,-8400000.0,-20000000.0,,
Change In Inventory,25900000.0,-107100000.0,-106800000.0,127700000.0,,
Change In Receivables,-536700000.0,77700000.0,327100000.0,-141500000.0,,
Changes In Account Receivables,-536700000.0,77700000.0,327100000.0,-141500000.0,,
Other Non Cash Items,-20700000.0,-18500000.0,-5700000.0,-3300000.0,-55400000.0,
Deferred Tax,82300000.0,33100000.0,29100000.0,91300000.0,58900000.0,
Deferred Income Tax,82300000.0,33100000.0,29100000.0,91300000.0,58900000.0,
Depreciation Amortization Depletion,315400000.0,306900000.0,286700000.0,258600000.0,278100000.0,
Depreciation And Amortization,315400000.0,306900000.0,286700000.0,258600000.0,278100000.0,
Operating Gains Losses,,-600000.0,,,1800000.0,-500000.0
Net Income From Continuing Operations,278400000.0,107000000.0,100500000.0,526700000.0,244300000.0,
