,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,958352000.0,943819000.0,456397000.0,121336000.0
Repurchase Of Capital Stock,-582121000.0,-424905000.0,-314060000.0,-370677000.0
Repayment Of Debt,,,0.0,0.0
Issuance Of Debt,,,0.0,0.0
Issuance Of Capital Stock,3804000.0,2444000.0,2170000.0,1991000.0
Capital Expenditure,-86171000.0,-89365000.0,-81025000.0,-51017000.0
Interest Paid Supplemental Data,1789000.0,1783000.0,1880000.0,1842000.0
Income Tax Paid Supplemental Data,345397000.0,234062000.0,135986000.0,192090000.0
End Cash Position,1889188000.0,1502051000.0,981795000.0,843527000.0
Beginning Cash Position,1502051000.0,981795000.0,843527000.0,1089361000.0
Effect Of Exchange Rate Changes,-1049000.0,-5922000.0,-9110000.0,304000.0
Changes In Cash,388186000.0,526178000.0,147378000.0,-246138000.0
Financing Cash Flow,-581334000.0,-417675000.0,-309031000.0,-367482000.0
Cash Flow From Continuing Financing Activities,-581334000.0,-417675000.0,-309031000.0,-367482000.0
Net Other Financing Charges,-3985000.0,,-1537000.0,
Proceeds From Stock Option Exercised,968000.0,4786000.0,4396000.0,1204000.0
Net Common Stock Issuance,-578317000.0,-422461000.0,-311890000.0,-368686000.0
Common Stock Payments,-582121000.0,-424905000.0,-314060000.0,-370677000.0
Common Stock Issuance,3804000.0,2444000.0,2170000.0,1991000.0
Net Issuance Payments Of Debt,,,0.0,0.0
Net Short Term Debt Issuance,,,0.0,0.0
Short Term Debt Payments,,,0.0,0.0
Short Term Debt Issuance,,,0.0,0.0
Net Long Term Debt Issuance,,,0.0,0.0
Long Term Debt Payments,,,0.0,0.0
Investing Cash Flow,-75003000.0,-89331000.0,-81013000.0,-51009000.0
Cash Flow From Continuing Investing Activities,-75003000.0,-89331000.0,-81013000.0,-51009000.0
Net Other Investing Changes,11168000.0,34000.0,12000.0,
Net PPE Purchase And Sale,-86171000.0,-89365000.0,-81025000.0,-51009000.0
Sale Of PPE,,34000.0,12000.0,8000.0
Purchase Of PPE,-86171000.0,-89365000.0,-81025000.0,-51017000.0
Operating Cash Flow,1044523000.0,1033184000.0,537422000.0,172353000.0
Cash Flow From Continuing Operating Activities,1044523000.0,1033184000.0,537422000.0,172353000.0
Change In Working Capital,-38204000.0,167806000.0,-54302000.0,-325997000.0
Change In Other Working Capital,-2583000.0,-567000.0,-8308000.0,3189000.0
Change In Other Current Liabilities,-33214000.0,-5222000.0,17600000.0,999000.0
Change In Other Current Assets,6566000.0,-9989000.0,13240000.0,-28296000.0
Change In Payables And Accrued Expense,28819000.0,198151000.0,-57822000.0,44320000.0
Change In Accrued Expense,22222000.0,43534000.0,11528000.0,-20370000.0
Change In Payable,6597000.0,154617000.0,-69350000.0,64690000.0
Change In Account Payable,35636000.0,119601000.0,-74247000.0,89184000.0
Change In Tax Payable,-29039000.0,35016000.0,4897000.0,-24494000.0
Change In Income Tax Payable,-29039000.0,35016000.0,4897000.0,-24494000.0
Change In Prepaid Assets,20946000.0,-38490000.0,-5609000.0,-19095000.0
Change In Inventory,-24344000.0,58541000.0,-26056000.0,-228554000.0
Change In Receivables,-34394000.0,-34618000.0,12653000.0,-98560000.0
Changes In Account Receivables,-41339000.0,4157000.0,-806000.0,-86627000.0
Other Non Cash Items,3307000.0,2496000.0,2662000.0,1552000.0
Stock Based Compensation,37943000.0,37288000.0,26897000.0,26816000.0
Asset Impairment Charge,9322000.0,9968000.0,4800000.0,2844000.0
Deferred Tax,-5545000.0,-1510000.0,-9719000.0,-27796000.0
Deferred Income Tax,-5545000.0,-1510000.0,-9719000.0,-27796000.0
Depreciation Amortization Depletion,68426000.0,57166000.0,47345000.0,42878000.0
Depreciation And Amortization,68426000.0,57166000.0,47345000.0,42878000.0
Amortization Cash Flow,847000.0,2208000.0,2228000.0,
Amortization Of Intangibles,847000.0,2208000.0,2228000.0,
Depreciation,67579000.0,54958000.0,45117000.0,42878000.0
Operating Gains Losses,3183000.0,407000.0,2917000.0,107000.0
Gain Loss On Sale Of PPE,,407000.0,2691000.0,107000.0
Net Income From Continuing Operations,966091000.0,759563000.0,516822000.0,451949000.0
