,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Free Cash Flow,280221000.0,231448000.0,84505000.0,-18643000.0,237039000.0,,
Repurchase Of Capital Stock,,,,,,0.0,0.0
Repayment Of Debt,-1825000.0,-1580000.0,-2005000.0,-2043000.0,-2202000.0,,
Issuance Of Debt,,0.0,0.0,,,0.0,0.0
Capital Expenditure,-68993000.0,-91458000.0,-72194000.0,-75083000.0,-72167000.0,,
End Cash Position,867906000.0,670679000.0,599189000.0,669688000.0,840398000.0,,
Beginning Cash Position,670679000.0,599189000.0,669688000.0,840398000.0,741881000.0,,
Effect Of Exchange Rate Changes,2498000.0,295000.0,2381000.0,752000.0,-7294000.0,,
Changes In Cash,194729000.0,71195000.0,-72880000.0,-171462000.0,105811000.0,,
Financing Cash Flow,-162433000.0,-158112000.0,-163255000.0,-149566000.0,-143063000.0,,
Cash Flow From Continuing Financing Activities,-162432000.0,-158112000.0,-163256000.0,-149567000.0,-143062000.0,,
Net Other Financing Charges,-1000.0,4969000.0,,,-1000.0,0.0,0.0
Proceeds From Stock Option Exercised,-1106000.0,-2001000.0,-1784000.0,11721000.0,14120000.0,,
Cash Dividends Paid,-159501000.0,-159500000.0,-159467000.0,-159245000.0,-154980000.0,,
Common Stock Dividend Paid,-159501000.0,-159500000.0,-159467000.0,-159245000.0,-154980000.0,,
Net Common Stock Issuance,,,,,,0.0,0.0
Common Stock Payments,,,,,,0.0,0.0
Net Issuance Payments Of Debt,-1825000.0,-1580000.0,-2005000.0,-2043000.0,-2202000.0,,
Net Long Term Debt Issuance,-1825000.0,-1580000.0,-2005000.0,-2043000.0,-2202000.0,,
Long Term Debt Payments,-1825000.0,-1580000.0,-2005000.0,-2043000.0,-2202000.0,,
Long Term Debt Issuance,,0.0,0.0,,,0.0,0.0
Investing Cash Flow,7948000.0,-93601000.0,-66323000.0,-78335000.0,-60333000.0,,
Cash Flow From Continuing Investing Activities,7949000.0,-93602000.0,-66323000.0,-78335000.0,-60333000.0,,
Net Other Investing Changes,-1000.0,1000.0,7881000.0,1859000.0,936000.0,,
Net Investment Purchase And Sale,-323000.0,-766000.0,-1435000.0,-3348000.0,-1387000.0,,
Net Business Purchase And Sale,77260000.0,-1419000.0,-584000.0,-1810000.0,12250000.0,,
Sale Of Business,78853000.0,0.0,0.0,-504000.0,13643000.0,,
Net PPE Purchase And Sale,-68988000.0,-91417000.0,-72185000.0,-75036000.0,-72132000.0,,
Sale Of PPE,5000.0,41000.0,9000.0,47000.0,35000.0,,
Purchase Of PPE,-68993000.0,-91458000.0,-72194000.0,-75083000.0,-72167000.0,,
Operating Cash Flow,349214000.0,322906000.0,156699000.0,56440000.0,309206000.0,,
Cash Flow From Continuing Operating Activities,349214000.0,322911000.0,156694000.0,56442000.0,309206000.0,,
Dividend Received Cfo,13051000.0,11250000.0,12703000.0,6250000.0,19894000.0,,
Change In Working Capital,110520000.0,11684000.0,-95847000.0,-203829000.0,44664000.0,,
Change In Other Working Capital,1728000.0,1404000.0,9721000.0,10468000.0,10167000.0,,
Change In Payables And Accrued Expense,-74235000.0,-23429000.0,-3956000.0,-19358000.0,-70202000.0,,
Change In Payable,-74235000.0,-23429000.0,-3956000.0,-19358000.0,-70202000.0,,
Change In Account Payable,-97026000.0,31112000.0,-23116000.0,-20996000.0,-56325000.0,,
Change In Tax Payable,22791000.0,-54541000.0,19160000.0,1638000.0,-13877000.0,,
Change In Income Tax Payable,22791000.0,-54541000.0,19160000.0,1638000.0,-13877000.0,,
Change In Prepaid Assets,833000.0,-19889000.0,6189000.0,3202000.0,-8101000.0,,
Change In Inventory,91293000.0,74810000.0,-91183000.0,-211507000.0,55606000.0,,
Change In Receivables,90901000.0,-21212000.0,-16618000.0,13366000.0,57194000.0,,
Changes In Account Receivables,90901000.0,-21212000.0,-16618000.0,13366000.0,57194000.0,,
Other Non Cash Items,12286000.0,13940000.0,9321000.0,10987000.0,10720000.0,,
Stock Based Compensation,6919000.0,4215000.0,4852000.0,11081000.0,5454000.0,,
Deferred Tax,139000.0,54277000.0,-1119000.0,-216000.0,-70000.0,,
Deferred Income Tax,139000.0,54277000.0,-1119000.0,-216000.0,-70000.0,,
Depreciation Amortization Depletion,67095000.0,69374000.0,64692000.0,63963000.0,65872000.0,,
Depreciation And Amortization,67095000.0,69374000.0,64692000.0,63963000.0,65872000.0,,
Operating Gains Losses,-42565000.0,143619000.0,-21599000.0,-11538000.0,-7858000.0,,
Earnings Losses From Equity Investments,-15820000.0,148453000.0,-11153000.0,-15350000.0,-16111000.0,,
Gain Loss On Investment Securities,-3237000.0,-4834000.0,-10446000.0,3812000.0,-2547000.0,,
Gain Loss On Sale Of Business,-23508000.0,0.0,0.0,0.0,10800000.0,,
Net Income From Continuing Operations,181769000.0,-56204000.0,183696000.0,179742000.0,170530000.0,,
