,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Free Cash Flow,384000000.0,1687000000.0,934500000.0,560300000.0,509000000.0,,
Repurchase Of Capital Stock,,,0.0,0.0,0.0,0.0,0.0
Repayment Of Debt,0.0,0.0,-383300000.0,-150300000.0,-113000000.0,,
Capital Expenditure,-170000000.0,-84000000.0,-86300000.0,-67900000.0,-48000000.0,,
End Cash Position,4166000000.0,3075000000.0,2279200000.0,2395000000.0,2237000000.0,,
Beginning Cash Position,3075000000.0,2279000000.0,2395000000.0,2237000000.0,2293000000.0,,
Changes In Cash,1091000000.0,796000000.0,-115800000.0,158200000.0,-56000000.0,,
Financing Cash Flow,-114000000.0,8000000.0,-374100000.0,47200000.0,-232000000.0,,
Cash Flow From Continuing Financing Activities,-114000000.0,8000000.0,-374100000.0,47200000.0,-232000000.0,,
Net Other Financing Charges,-122000000.0,-122000000.0,-700000.0,-5100000.0,-156000000.0,,
Proceeds From Stock Option Exercised,8000000.0,130000000.0,9900000.0,202600000.0,37000000.0,,
Net Common Stock Issuance,,,0.0,0.0,0.0,0.0,0.0
Common Stock Payments,,,0.0,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,0.0,0.0,-383300000.0,-150300000.0,-113000000.0,,
Net Short Term Debt Issuance,,,-383300000.0,-150300000.0,-112400000.0,-319000000.0,-199600000.0
Short Term Debt Payments,,,-383300000.0,-150300000.0,-112400000.0,-319000000.0,-199600000.0
Net Long Term Debt Issuance,,0.0,,,,-319000000.0,
Long Term Debt Payments,,0.0,,,,-319000000.0,
Investing Cash Flow,651000000.0,-983000000.0,-762500000.0,-517200000.0,-381000000.0,,
Cash Flow From Continuing Investing Activities,651000000.0,-983000000.0,-762500000.0,-517200000.0,-381000000.0,,
Net Investment Purchase And Sale,3397000000.0,-897000000.0,-121300000.0,-448800000.0,-334000000.0,,
Sale Of Investment,3921000000.0,504000000.0,753400000.0,640400000.0,738000000.0,,
Purchase Of Investment,-524000000.0,-1401000000.0,-874700000.0,-1089200000.0,-1072000000.0,,
Net Business Purchase And Sale,-2576000000.0,-2000000.0,-554900000.0,-500000.0,1000000.0,,
Purchase Of Business,-2576000000.0,-2000000.0,-554900000.0,-500000.0,1000000.0,,
Net PPE Purchase And Sale,-170000000.0,-84000000.0,-86300000.0,-67900000.0,-48000000.0,,
Purchase Of PPE,-170000000.0,-84000000.0,-86300000.0,-67900000.0,-48000000.0,,
Operating Cash Flow,554000000.0,1771000000.0,1020800000.0,628200000.0,557000000.0,,
Cash Flow From Continuing Operating Activities,554000000.0,1771000000.0,1020800000.0,628200000.0,557000000.0,,
Change In Working Capital,-385000000.0,845000000.0,244800000.0,-54000000.0,-68000000.0,,
Change In Other Working Capital,54000000.0,-604000000.0,948100000.0,175000000.0,55000000.0,,
Change In Payables And Accrued Expense,281000000.0,-265000000.0,200800000.0,133800000.0,169000000.0,,
Change In Accrued Expense,239000000.0,-263000000.0,212700000.0,48100000.0,233000000.0,,
Change In Payable,42000000.0,-2000000.0,-11900000.0,85700000.0,-64000000.0,,
Change In Account Payable,42000000.0,-2000000.0,-11900000.0,85700000.0,-64000000.0,,
Change In Prepaid Assets,-12000000.0,-33000000.0,20500000.0,-21200000.0,93000000.0,,
Change In Receivables,-708000000.0,1747000000.0,-924600000.0,-341600000.0,-385000000.0,,
Changes In Account Receivables,-758000000.0,1622000000.0,-1013900000.0,-454400000.0,-363000000.0,,
Other Non Cash Items,138000000.0,113000000.0,-19000000.0,123400000.0,126000000.0,,
Stock Based Compensation,301000000.0,370000000.0,354400000.0,325700000.0,320000000.0,,
Amortization Of Securities,-45000000.0,-7000000.0,-5900000.0,-9200000.0,-11000000.0,,
Deferred Tax,5000000.0,9000000.0,91600000.0,-124500000.0,-180000000.0,,
Deferred Income Tax,5000000.0,9000000.0,91600000.0,-124500000.0,-180000000.0,,
Depreciation Amortization Depletion,91000000.0,89000000.0,83800000.0,88600000.0,87000000.0,,
Depreciation And Amortization,91000000.0,89000000.0,83800000.0,88600000.0,87000000.0,,
Operating Gains Losses,17000000.0,18000000.0,17300000.0,16100000.0,16000000.0,,
Gain Loss On Sale Of PPE,17000000.0,18000000.0,17300000.0,16100000.0,16000000.0,,
Net Income From Continuing Operations,432000000.0,334000000.0,253800000.0,262100000.0,267000000.0,,
