,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Free Cash Flow,410338000.0,335618000.0,174575000.0,313242000.0
Repurchase Of Capital Stock,-35051000.0,-28055000.0,-25000000.0,-193916000.0
Repayment Of Debt,-500000000.0,-600000000.0,-650060000.0,-317127000.0
Issuance Of Debt,350000000.0,475000000.0,810000000.0,332000000.0
Issuance Of Capital Stock,11747000.0,12475000.0,12371000.0,11773000.0
Capital Expenditure,-231166000.0,-232423000.0,-206984000.0,-191389000.0
End Cash Position,101953000.0,38284000.0,12243000.0,48787000.0
Beginning Cash Position,38284000.0,12243000.0,48787000.0,50992000.0
Changes In Cash,63669000.0,26041000.0,-36544000.0,-2205000.0
Financing Cash Flow,-345672000.0,-301835000.0,-8430000.0,-310492000.0
Cash Flow From Continuing Financing Activities,-345672000.0,-301835000.0,-8430000.0,-310492000.0
Net Other Financing Charges,-7726000.0,-5378000.0,-8505000.0,-4152000.0
Proceeds From Stock Option Exercised,2000.0,0.0,1000.0,0.0
Cash Dividends Paid,-164644000.0,-155877000.0,-147237000.0,-139070000.0
Common Stock Dividend Paid,-164644000.0,-155877000.0,-147237000.0,-139070000.0
Net Common Stock Issuance,-23304000.0,-15580000.0,-12629000.0,-182143000.0
Common Stock Payments,-35051000.0,-28055000.0,-25000000.0,-193916000.0
Common Stock Issuance,11747000.0,12475000.0,12371000.0,11773000.0
Net Issuance Payments Of Debt,-150000000.0,-125000000.0,159940000.0,14873000.0
Net Short Term Debt Issuance,-150000000.0,-125000000.0,159940000.0,14873000.0
Short Term Debt Payments,-500000000.0,-600000000.0,-650060000.0,-317127000.0
Short Term Debt Issuance,350000000.0,475000000.0,810000000.0,332000000.0
Investing Cash Flow,-232163000.0,-240165000.0,-409673000.0,-196344000.0
Cash Flow From Continuing Investing Activities,-232163000.0,-240165000.0,-409673000.0,-196344000.0
Net Other Investing Changes,3000.0,904000.0,27939000.0,45000.0
Net Investment Purchase And Sale,-1000000.0,-8646000.0,-1000000.0,-5000000.0
Sale Of Investment,1000000.0,0.0,0.0,0.0
Purchase Of Investment,-2000000.0,-8646000.0,-1000000.0,-5000000.0
Net Business Purchase And Sale,0.0,0.0,-229628000.0,0.0
Purchase Of Business,0.0,0.0,-229628000.0,0.0
Net Intangibles Purchase And Sale,-177808000.0,-174305000.0,-167805000.0,-156730000.0
Purchase Of Intangibles,-177808000.0,-174305000.0,-167805000.0,-156730000.0
Capital Expenditure Reported,-53358000.0,-58118000.0,-39179000.0,-34659000.0
Operating Cash Flow,641504000.0,568041000.0,381559000.0,504631000.0
Cash Flow From Continuing Operating Activities,641504000.0,568041000.0,381559000.0,504631000.0
Change In Working Capital,-45857000.0,-45484000.0,-151708000.0,-92961000.0
Change In Other Working Capital,-9511000.0,-872000.0,-595000.0,23276000.0
Change In Payables And Accrued Expense,-469000.0,42727000.0,-26730000.0,7836000.0
Change In Accrued Expense,-3115000.0,37292000.0,-20453000.0,1190000.0
Change In Payable,2646000.0,5435000.0,-6277000.0,6646000.0
Change In Account Payable,2646000.0,5435000.0,-6277000.0,6646000.0
Change In Prepaid Assets,-50933000.0,-115558000.0,-112316000.0,-82565000.0
Change In Receivables,15056000.0,28219000.0,-12067000.0,-41508000.0
Stock Based Compensation,28392000.0,28873000.0,28611000.0,24780000.0
Deferred Tax,-3496000.0,-909000.0,-48199000.0,31872000.0
Deferred Income Tax,-3496000.0,-909000.0,-48199000.0,31872000.0
Depreciation Amortization Depletion,204751000.0,199904000.0,190726000.0,177624000.0
Depreciation And Amortization,204751000.0,199904000.0,190726000.0,177624000.0
Amortization Cash Flow,161051000.0,153562000.0,142006000.0,126835000.0
Amortization Of Intangibles,161051000.0,153562000.0,142006000.0,126835000.0
Depreciation,43700000.0,46342000.0,48720000.0,50789000.0
Operating Gains Losses,1966000.0,3841000.0,-4517000.0,400000.0
Net Income From Continuing Operations,455748000.0,381816000.0,366646000.0,362916000.0
